onset	duration	sample	type	value
0	n/a	1	STATUS	61440
0	n/a	1	Epoch	n/a
0	n/a	1	CM_in_range	n/a
0.41796875	n/a	215	STATUS	61694
1.91796875	n/a	983	STATUS	61450
3.41796875	n/a	1751	STATUS	61463
3.783203125	n/a	1938	STATUS	61471
4.05859375	n/a	2079	STATUS	61472
4.79296875	n/a	2455	STATUS	61480
5.80078125	n/a	2971	STATUS	61490
6.359375	n/a	3257	STATUS	61501
7.609375	n/a	3897	STATUS	61510
7.859375	n/a	4025	STATUS	61450
9.359375	n/a	4793	STATUS	61468
9.7265625	n/a	4981	STATUS	61471
10.458984375	n/a	5356	STATUS	61472
10.734375	n/a	5497	STATUS	61480
11.7421875	n/a	6013	STATUS	61490
13.958984375	n/a	7148	STATUS	61501
14.818359375	n/a	7588	STATUS	61511
15.068359375	n/a	7716	STATUS	61450
16.568359375	n/a	8484	STATUS	61468
16.935546875	n/a	8672	STATUS	61471
17.66796875	n/a	9047	STATUS	61472
17.943359375	n/a	9188	STATUS	61480
18.951171875	n/a	9704	STATUS	61490
20.576171875	n/a	10536	STATUS	61501
21.501953125	n/a	11010	STATUS	61511
21.751953125	n/a	11138	STATUS	61450
23.251953125	n/a	11906	STATUS	61463
23.619140625	n/a	12094	STATUS	61471
23.89453125	n/a	12235	STATUS	61472
24.626953125	n/a	12610	STATUS	61480
25.634765625	n/a	13126	STATUS	61490
26.361328125	n/a	13498	STATUS	61501
26.64453125	n/a	13643	STATUS	61511
26.89453125	n/a	13771	STATUS	61450
28.39453125	n/a	14539	STATUS	61463
28.76171875	n/a	14727	STATUS	61471
29.03515625	n/a	14867	STATUS	61472
29.76953125	n/a	15243	STATUS	61480
30.77734375	n/a	15759	STATUS	61490
31.419921875	n/a	16088	STATUS	61501
31.794921875	n/a	16280	STATUS	61510
32.044921875	n/a	16408	STATUS	61450
33.544921875	n/a	17176	STATUS	61468
33.912109375	n/a	17364	STATUS	61471
34.64453125	n/a	17739	STATUS	61472
34.919921875	n/a	17880	STATUS	61480
35.927734375	n/a	18396	STATUS	61490
36.345703125	n/a	18610	STATUS	61501
39.220703125	n/a	20082	STATUS	61511
39.470703125	n/a	20210	STATUS	61450
40.970703125	n/a	20978	STATUS	61468
41.337890625	n/a	21166	STATUS	61471
42.0703125	n/a	21541	STATUS	61472
42.345703125	n/a	21682	STATUS	61480
43.353515625	n/a	22198	STATUS	61490
44.669921875	n/a	22872	STATUS	61501
45.12109375	n/a	23103	STATUS	61511
45.37109375	n/a	23231	STATUS	61450
46.87109375	n/a	23999	STATUS	61468
47.23828125	n/a	24187	STATUS	61471
47.970703125	n/a	24562	STATUS	61472
48.24609375	n/a	24703	STATUS	61480
49.25390625	n/a	25219	STATUS	61490
49.955078125	n/a	25578	STATUS	61501
50.396484375	n/a	25804	STATUS	61511
50.646484375	n/a	25932	STATUS	61450
52.146484375	n/a	26700	STATUS	61463
52.513671875	n/a	26888	STATUS	61471
52.787109375	n/a	27028	STATUS	61472
53.521484375	n/a	27404	STATUS	61480
54.529296875	n/a	27920	STATUS	61490
55.287109375	n/a	28308	STATUS	61501
55.720703125	n/a	28530	STATUS	61510
55.970703125	n/a	28658	STATUS	61450
57.470703125	n/a	29426	STATUS	61463
57.837890625	n/a	29614	STATUS	61471
58.11328125	n/a	29755	STATUS	61472
58.845703125	n/a	30130	STATUS	61480
59.85546875	n/a	30647	STATUS	61490
60.48046875	n/a	30967	STATUS	61501
60.796875	n/a	31129	STATUS	61511
61.046875	n/a	31257	STATUS	61450
62.546875	n/a	32025	STATUS	61463
62.9140625	n/a	32213	STATUS	61471
63.189453125	n/a	32354	STATUS	61472
63.921875	n/a	32729	STATUS	61480
64.9296875	n/a	33245	STATUS	61490
65.4296875	n/a	33501	STATUS	61501
65.73828125	n/a	33659	STATUS	61510
65.98828125	n/a	33787	STATUS	61450
67.48828125	n/a	34555	STATUS	61463
67.85546875	n/a	34743	STATUS	61471
68.130859375	n/a	34884	STATUS	61472
68.86328125	n/a	35259	STATUS	61480
69.873046875	n/a	35776	STATUS	61490
70.47265625	n/a	36083	STATUS	61501
70.7734375	n/a	36237	STATUS	61510
71.0234375	n/a	36365	STATUS	61450
72.5234375	n/a	37133	STATUS	61463
72.888671875	n/a	37320	STATUS	61471
73.1640625	n/a	37461	STATUS	61472
73.8984375	n/a	37837	STATUS	61480
74.90625	n/a	38353	STATUS	61490
75.60546875	n/a	38711	STATUS	61500
75.923828125	n/a	38874	STATUS	61510
76.173828125	n/a	39002	STATUS	61450
77.673828125	n/a	39770	STATUS	61463
78.0390625	n/a	39957	STATUS	61471
78.314453125	n/a	40098	STATUS	61472
79.048828125	n/a	40474	STATUS	61480
80.056640625	n/a	40990	STATUS	61490
80.5234375	n/a	41229	STATUS	61501
81.005859375	n/a	41476	STATUS	61510
81.255859375	n/a	41604	STATUS	61450
82.7578125	n/a	42373	STATUS	61468
83.123046875	n/a	42560	STATUS	61471
83.857421875	n/a	42936	STATUS	61472
84.1328125	n/a	43077	STATUS	61480
85.140625	n/a	43593	STATUS	61490
85.498046875	n/a	43776	STATUS	61501
85.814453125	n/a	43938	STATUS	61511
86.06640625	n/a	44067	STATUS	61450
87.56640625	n/a	44835	STATUS	61463
87.931640625	n/a	45022	STATUS	61471
88.20703125	n/a	45163	STATUS	61472
88.94140625	n/a	45539	STATUS	61480
89.94921875	n/a	46055	STATUS	61490
90.19140625	n/a	46179	STATUS	61500
90.474609375	n/a	46324	STATUS	61510
90.724609375	n/a	46452	STATUS	61450
92.224609375	n/a	47220	STATUS	61468
92.591796875	n/a	47408	STATUS	61471
93.32421875	n/a	47783	STATUS	61472
93.599609375	n/a	47924	STATUS	61480
94.607421875	n/a	48440	STATUS	61490
95.2578125	n/a	48773	STATUS	61500
95.75	n/a	49025	STATUS	61511
96	n/a	49153	STATUS	61450
97.5	n/a	49921	STATUS	61468
97.8671875	n/a	50109	STATUS	61471
98.599609375	n/a	50484	STATUS	61472
98.875	n/a	50625	STATUS	61480
99.8828125	n/a	51141	STATUS	61490
100.18359375	n/a	51295	STATUS	61501
100.875	n/a	51649	STATUS	61511
101.125	n/a	51777	STATUS	61450
102.625	n/a	52545	STATUS	61463
102.9921875	n/a	52733	STATUS	61471
103.267578125	n/a	52874	STATUS	61472
104	n/a	53249	STATUS	61480
105.0078125	n/a	53765	STATUS	61490
105.576171875	n/a	54056	STATUS	61500
105.841796875	n/a	54192	STATUS	61510
106.091796875	n/a	54320	STATUS	61450
107.591796875	n/a	55088	STATUS	61463
107.958984375	n/a	55276	STATUS	61471
108.234375	n/a	55417	STATUS	61472
108.966796875	n/a	55792	STATUS	61480
109.9765625	n/a	56309	STATUS	61490
110.3515625	n/a	56501	STATUS	61501
110.767578125	n/a	56714	STATUS	61511
111.017578125	n/a	56842	STATUS	61450
112.517578125	n/a	57610	STATUS	61463
112.884765625	n/a	57798	STATUS	61471
113.16015625	n/a	57939	STATUS	61472
113.892578125	n/a	58314	STATUS	61480
114.900390625	n/a	58830	STATUS	61490
115.251953125	n/a	59010	STATUS	61501
115.6015625	n/a	59189	STATUS	61510
115.8515625	n/a	59317	STATUS	61450
117.3515625	n/a	60085	STATUS	61463
117.71875	n/a	60273	STATUS	61471
117.9921875	n/a	60413	STATUS	61472
118.7265625	n/a	60789	STATUS	61480
119.734375	n/a	61305	STATUS	61490
119.958984375	n/a	61420	STATUS	61501
120.234375	n/a	61561	STATUS	61510
120.484375	n/a	61689	STATUS	61450
121.984375	n/a	62457	STATUS	61463
122.3515625	n/a	62645	STATUS	61471
122.626953125	n/a	62786	STATUS	61472
123.359375	n/a	63161	STATUS	61480
124.369140625	n/a	63678	STATUS	61490
124.935546875	n/a	63968	STATUS	61501
125.244140625	n/a	64126	STATUS	61510
125.494140625	n/a	64254	STATUS	61450
126.994140625	n/a	65022	STATUS	61468
127.359375	n/a	65209	STATUS	61471
128.09375	n/a	65585	STATUS	61472
128.369140625	n/a	65726	STATUS	61480
129.376953125	n/a	66242	STATUS	61490
129.64453125	n/a	66379	STATUS	61501
129.927734375	n/a	66524	STATUS	61511
130.177734375	n/a	66652	STATUS	61450
131.677734375	n/a	67420	STATUS	61463
132.044921875	n/a	67608	STATUS	61471
132.318359375	n/a	67748	STATUS	61472
133.052734375	n/a	68124	STATUS	61480
134.060546875	n/a	68640	STATUS	61490
134.369140625	n/a	68798	STATUS	61501
134.736328125	n/a	68986	STATUS	61510
134.986328125	n/a	69114	STATUS	61450
136.486328125	n/a	69882	STATUS	61468
136.853515625	n/a	70070	STATUS	61471
137.5859375	n/a	70445	STATUS	61472
137.861328125	n/a	70586	STATUS	61480
138.869140625	n/a	71102	STATUS	61490
139.34375	n/a	71345	STATUS	61501
139.728515625	n/a	71542	STATUS	61511
139.978515625	n/a	71670	STATUS	61450
141.478515625	n/a	72438	STATUS	61468
141.845703125	n/a	72626	STATUS	61471
142.578125	n/a	73001	STATUS	61472
142.853515625	n/a	73142	STATUS	61480
143.861328125	n/a	73658	STATUS	61490
144.12890625	n/a	73795	STATUS	61501
144.537109375	n/a	74004	STATUS	61511
144.787109375	n/a	74132	STATUS	61450
146.287109375	n/a	74900	STATUS	61463
146.654296875	n/a	75088	STATUS	61471
146.927734375	n/a	75228	STATUS	61472
147.662109375	n/a	75604	STATUS	61480
148.669921875	n/a	76120	STATUS	61490
149.14453125	n/a	76363	STATUS	61501
149.462890625	n/a	76526	STATUS	61510
149.712890625	n/a	76654	STATUS	61450
151.212890625	n/a	77422	STATUS	61463
151.578125	n/a	77609	STATUS	61471
151.853515625	n/a	77750	STATUS	61472
152.587890625	n/a	78126	STATUS	61480
153.595703125	n/a	78642	STATUS	61490
153.828125	n/a	78761	STATUS	61501
154.271484375	n/a	78988	STATUS	61510
154.521484375	n/a	79116	STATUS	61450
156.021484375	n/a	79884	STATUS	61468
156.38671875	n/a	80071	STATUS	61471
157.12109375	n/a	80447	STATUS	61472
157.396484375	n/a	80588	STATUS	61480
